UM,REPORT
heavy vehicle,"At 10:01 a.m. on May 30, 2017, an employee was struck by a forklift as it was backing out of a truck that was being loaded with wooden pallets. The driver backed out of a truck at the dock, turned, and struck the employee, sending him to the ground. The employee sustained multiple injuries to his left leg, knee, and foot. On May 30, 2017 at 5:30 am, the employee died at home. It was reported that his lungs filled with fluid and he suffered a heart attack. "
handling heavy/sharp object/material,"At 7:00 p.m. on May 30, 2017, an employee was attempting to move a heavy metal injection mold used for manufacturing plastic parts, when it fell off a shelf and struck him.  The employee received critical injuries to his head and chest, and died on June 2, 2017.  According to Medical Examiner, the cause of death was blunt force injury to the head. "
exposure to extreme temperature,"At 6:00 p.m. on May 30, 2017, an employee was working in a filed picking eggplants.  The employee was found unresponsive on the ground.  Cause of death was possible heat stoke (pending toxicology report). The employee's core temperature was unknown. "
machinery and equipment,"At 1:45 p.m. on May 30, 2017, an employee was operating the industrial magnetic based drill.  The employee's safety vest vest was caught-in the drill mechanism. The employee became tangled, choked and he was killed. "
working at height,"At 10:00 a.m. on May 29, 2017, a 38 year old male employee, was working on the ground to clean and chip brush. There were two employees climbing in a tree to trim it at a residential home. One climber looked down toward the ground to check before performing a cut and saw the employee lying on the ground. The climber yelled to the other climber and they responded, finding blood on the back of the injured employee's head. Emergency services were called and the injured employee was transported to a hospital. The employee was hospitalized and later died from a fractured skull. "
machinery and equipment,"At 3:00 a.m. on May 29, 2017, an employee was connecting a wire cable to the block of a drilling rig. The employee connecting a rope cable from a winch on a pickup truck to the block of a drilling rig was entangled. The employee was caught in between the cord and the winch and was killed.. "
machinery and equipment,"At 1:30 p.m. on May 29, 2017, an employee was changing a seal on a power swivel.  The rigging chain on the tong broke, striking the employee in the side of his head. The employee suffered a fractured skull and was killed. "
working at height,"At 4:15 p.m. on May 28, 2017, an employee was installing metal roof panels approximately 24 feet above ground level.  The employee was using a drill to screw metal roof panels onto structural beams.  The employee was working with his back to the edge of the roof, stepped back, and fell from the roof onto the concrete.  The employee was not wearing safety harness.  Fall protection was not provided. The employee was killed from crushing injuries to the head. "
working at height,"At 1:30 p.m. on May 27, 2017, an employee was cutting an 18-inch oak tree limb.  The employee was knocked off of the tree by lifelines getting caught by the falling limb being cut away. The climber fell and struck his face into the trunk of the tree and was asphyxiated after hanging in place for over 2 hours. "
working at height,"At 10:22 a.m. on May 26, 2017, an employee was removing roof panels.  The employee fell through a roof opening, struck his head on a concrete floor and was killed. "
exposure to harmful substance,"At 5:00 a.m. on May 25, 2017, an employee was cleaning a kitchen hood using a degreaser and other cleaning agents.  According to coworkers, at the end of his work schedule, the worker felt dizzy and with shortness of breath. An ambulance was called, and the worker died on the way to the hospital. The employer was not at the site at the time of the  incident. "
working at height,"At 4:00 p.m. on May 25, 2017, an employee was performing cleanup of a work area.  The employee fell through a floor opening/shaft.  The employee struck rocks on the ground, received head trauma and broken bones and was killed. "
exposure to harmful substance,"At 3:15 p.m. on May 25, 2017, two employees were preparing hot plates to use during fusion of plastic piping.  Other workers at the site were backfilling a trench.  Other workers at the site were welding and using oxyacetylene torches to connect steel piping in a trench.  The piping was connected to a crude oil tank that had been partially emptied, but not washed out or vented.  Flammable vapors ignited and three crude oil tanks exploded.  Flash fire spread to area of trench, resulting in 4th degree burns and killing one worker. Three workers sustained third degree burns and were hospitalized. Two workers sustained first and second degree burns, and were treated and released. "
exposure to harmful substance,"At approximately 10:48 on May 24, 2017, Employee #1, the owner, and another employee were in the process of neutralizing an empty MP85 odorant tank. The odorant tank had previously been filed with tertiary butyl mercaptan.  The odorant tank was filled with 6% sodium hypochlorite solution.  The group was in the process of setting up the equipment to drain the odorant tank when the odorant tank exploded.  The owner and Employee #1 were standing at the base of the tank while the other employee was standing on a ladder.  Employee #1 and the owner received fatal injuries, and the other employee was lift-flighted to the hospital.  Employee #1 and the owner were pronounced dead at the scene. "
exposure to extreme temperature,"At 10:00 a.m. on May 24, 2017, an employee was tasked with wrapping shrink wrap around used residential water heaters which were then taken to a recycling facility.  While sitting down taking a break under a shade structure, the employee started having chest pains and numbness on his left side. The employee had a heart attack and died. "
preexisting medical condition,"At 6:50 a.m. on May 24, 2017, an employee was driving his truck.  He was observed having a seizure just before he left the storage yard.  The employee had a fatal heart attack. "
working at height,"At 2:43 p.m. on May 24, 2017, an employee was picking up tree limbs when an approximately 150 foot tree uprooted and struck employee on the head.  The impact from the blow threw the employee onto the ground.  The employee's head struck a sharp rock.  Employee was wearing his issued hard hat.The employee was killed by being struck on the head by a falling tree, and then being thrown down onto a rock. "
exposure to extreme temperature,"At 1:45 p.m. on May 24, 2017, an employee was running a string trimmer (Weed eater) to cut down weeds.  The employee complained to a coworker that the heat was getting to him (85 degrees outside) then collapsed. The coworker performed CPR until paramedics arrived approximately 15 minutes later.  The employee died from a possible heart attack. "
machinery and equipment,"At 1:00 p.m. on May 24, 2017, a employee was directing a crane operator while standing inside an excavation for new cesspool installation.  The ground gave away and collapsed.  The employee fell in hole, and was engulfed.  The employee was killed. "
heavy vehicle,"At 1:25 p.m. on May 24, 2017, an employee was operating a lift truck.  The employee fell while in the process of picking merchandise out of a rack from an elevated lift truck.   A video of the accident showed the employee elevating the lift truck, without parking it close to location of the pick. The employee is observed apparently kneeling in the operator's cabin of the lift truck, then he is observed falling head first through the gap in between the elevated position of the lift truck and the rack.  The employee had been trained and certified in the safe operation of the lift truck, and fall protection had been provided.  The employee was not wearing fall protection at the time of the accident.  The employee had a pre-existing heart condition and fell a distance of 15 feet and 3 inches to floor level. The employee died as a result of his injuries. "
working at height,"At 1:15 p.m. on May 24, 2017, an employee was nailing a second floor window into place.  The employee was on the outside of the structure standing on a 32 feet extension ladder when reportedly he lost his balance and fell.  The ladder was reportedly placed inside a 30 foot long construction dumpster among the trash and debris which possibly caused the ladder to slip.  The employee was killed by impact when hitting the ground. "
working at height,"On May 23, 2017, an employee was climbing an extension ladder with a packet of roofing shingles. The employee tripped or slipped and fell 18 feet to a concrete slab. The employee was killed. "
heavy vehicle,"At 10:00 a.m. on May 23, 2017, an employee was riding on the back of a pickup truck and fell.  The employee struck his head on the ground and fractured their skull. The employee was hospitalized and treated for his injuries. "
preexisting medical condition,"At 3:30 p.m. on May 23, 2017, and employee was setting up a drip irrigation system.  The employee was not feeling well, and was taken to a trailer to rest.  The employee had cardiac arrest while he was cooling off in the trailer. The employee suffered fatal heart attack while at work. "
heavy vehicle,"At 1:00 p.m. on May 23, 2017, an employee working in a construction zone was struck and killed by a motor vehicle. The driver didn't yield to workers in a construction zone. "
heavy vehicle,"At 12:15 p.m. on May 22, 2017, an employee was hitching up a tandem trailer rig. The employee backed the truck and first trailer into a second trailer and then exited the cab to hitch the second trailer.  The parking brake in the truck was not engaged and the working surface had a slight upward incline.  As the trailer was hooked up and the employee hooked up the air brakes, both trailers rolled backwards approximately 8 feet. The first and second trailers jack knifed into one another and the employee was crushed and killed. "
working at height,"At 12:45 p.m. on May 22, 2017, an employee was removing a tree top. As the tree top fell, the employee used a rope system to control the tree's rate of descent. The employee was pulled into the tree base and struck in the head by its falling portion. The employee was killed as a result. "
machinery and equipment,"On May 22, 2017, an employee was killed while standing beside a conveyor when he was struck by a fallen log. "
working at height,"At 11:00 a.m. on May 22, 2017, an employee was removing a round metal sign from the outside of  a twostory building.  Other employees were painting curbs on the other side of the parking lot.  The employee accessed the metal sign by erecting a 24 foot aluminum extension ladder, and leaned it against the side of the building just to the east of the building's double glass doors. He used a Milwaukee Sawzall reciprocating power saw to cut the bolts or rivets holding the sign onto the side of the building. During the cutting, the employee fell 16 feet to the concrete sidewalk where he'd spread a drop cloth. A witness sitting in his car waiting to pick up his wife noticed the employee was struggling on the ladder with the saw and the sign. As the sign broke free from the wall, the employee fell about 16 feet. He suffered multiple fractures and dislocations to both arms, fractured ribs, facial and cranial fractures, fractured vertebrae in his neck, and hematoma.  The employee was hospitalized and underwent surgery; however, he died on July 1, 2017 from a pulmonary embolism received due his injuries and lack of mobility following release from the hospital. "
working at height,"At 10:50 a.m. on May 22, 2017, an employee was assisting a coworker to hand carry a metal panel, measuring 3 feet by 10 feet, to affix to a roof. As the employee held the panel and was walking backwards, he stepped on top of weak roof area used as skylight with fiberglass panel versus steel panel. As a result, the employee fell approximately 15 to 20 feet to a concrete floor below. The employee sustained head and neck trauma , lacerations, and was killed. The incident investigation revealed that the coworker was leading the employee who could not see where he was walking. "
working at height,"At 9:15 a.m. on May 22, 2017, two employees were setting up a 40 foot extension aluminum ladder. As the employees leaned the ladder onto a 13,800 volt power line, one employee was electrocuted, while the other sustained an electric shock, which he was hospitalized and received treatment for burns to his feet and legs. "
heavy vehicle,"At 5:00 p.m. on May 22, 2017, an employee was operating a rideon zeroturn lawnmower (model number: 992278; serial number: 051129) along the side of a ditch. During operation, the mower rolled rolled over into the ditch and pinned the employee underneath. The employee was found dead 4.5 hours later. After further evaluation by the medical personnel, his death was attributed to asphyxiation and/or drowning. "
others,"At 3:00 p.m. on May 22, 2017, an employee hit his right elbow as he slipped on the second step of a stairwell. The employee had mud on bottom of boots due to wet conditions from the previous day  and was swatting at bugs. The employee did not want go to the hospital,  but his coworkers took him anyway. After being admitted to the hospital and treated for his elbow, the employee was released. However, while getting ready to leave, he started feeling dizzy and had trouble catching his breath. The employee gasped for air and then suffered a seizure/heart attack and later died. "
others,"At 2:30 p.m. on May 21, 2017, an employee and a coworker were transporting two trash containers using a manually-powered carriage. While at the dumpster area, the employee stepped on a 1 inch roofing nail, puncturing his left foot. The employee was hospitalized and received treatment for his injury. "
heavy vehicle,"On May 19, 2017, an employee was operating a logging skidder on a temporary bridge made from logs when the skidder slid off into a pond.  The employee was trapped in the cab of the skidder and was under water for 15 to 20 minutes. While in the cab, the employee went into cardiac arrest. Upon rescue by emergency service personnel, the employee was unresponsive; however, was revived and transported to a nearby hospital, where he later died. "
preexisting medical condition,"At 10:08 on May 19, 2017, an employee was training vines on blackberry plants. Shortly after first break, the employee was observed bending over and holding his chest. He then collapsed and was unresponsive. Emergency services were called and, upon arrival, CPR was administered. However, the employee died as the result of suffering a heart attack. "
heavy vehicle,"At 7:00 p.m. on May 19, 2017, an employee was driving a tractor with a trailer bed carrying aluminum irrigation pipes. The employee along with a coworker were tasked with picking up the irrigation pipes from the rows and put them onto the trailer, and then transporting the pipes to another location. During work, the employee was run over by the left wheel of the trailer. He sustained crushing injuries to his head, back, and ribs, resulting in his death. "
exposure to harmful substance,"At 5:15 p.m. on May 19, 2017, an employee was on his own personal time, working on a drum that previously contained an unknown chemical. With the drum sealed, the employee initiated welding, which caused its lid to blow off. The employee was struck in the head, resulting in his death. "
working at height,"At 2:15 p.m. on May 19, 2017, an employee was removing roofing material during a building demolition, when he stepped through insulating material and fell to a concrete slab. The employee was killed as a result of suffering multiplebone fractures and a head injury. The incident investigation reported that the employee was wearing a full-body harness, but was not tied off. "
heavy vehicle,"At 9:00 a.m. on May 18, 2017, an employee was bending over to pick something up, when he was  struck by a skid steer loader. The employee was killed from crushing injuries. "
working at height,"At 8:00 a.m. on May 18, 2017, an employee was working to level the exterior wall panels of a structure. During work, the employee determined that bracing positioned on the interior of the structure needed to be adjusted. As the employee was positioned on the first floor, 11.5 feet above the concrete basement, to make the necessary adjustments, he stepped backwards into an uncovered opening. The opening was intended to be a stairwell and measured 11.9 feet by 3.6 feet. The employee fell 11.5 feet to the ground and was killed. "
working at height,"At 8:00 a.m. on May 18, 2017, an employee was on a sidewalk shed cleaning windows using a squeegee. During work, a piece of plank, measuring 4 feet long, that the employee was kneeling on became dislodged from its support. The employee fell, along with the plank, approximately 15 feet to the level below and was killed from a fatal head injury. "
heavy vehicle,"At 8:45 a.m. on May 18, 2017, an employee was changing a  cooling fan belt of a Toyota forklift (model number: 02-5PO35). During work, the vehicle fell off the lift it was elevated on and crushed the employee's upper torso. The employee was killed as a result of his injuries. "
working at height,"At 5:50 p.m. on May 18, 2017, an employee was removing screws from a billboard sign light cover when he fell 65 feet to ground. The employee suffered blunt trauma to his body, resulting in his death. "
heavy vehicle,"At 5:30 p.m. on May 18, 2017, an employee placed 15 pieces of lumber on a sorter machine using a forklift. During operation of the sorting machine, several pieces of lumber flew from the machine and struck the employee. The employee suffered a head injury and fractured right leg, resulting in his death. "
others,"At 4:30 p.m. on May 18, 2017, an employee was preparing to close out for the end of the day, when he collapsed and died. "
exposure to electric source,"At 11:00 a.m. on May 17, 2017, an employee was opening a ground mounted 7.2 kv electrical transformer box.The employee slipped and contacted live parts with his hand. The employee was shocked and killed by the live electrical parts. "
heavy vehicle,"At 10:25 a.m. on May 17, 2017, an employee was driving a scissor lift through a 8 foot tall door opening and had to cross over a plywood board that covered a 20 inch wide by 6 inch deep drainage ditch. As the employee was crossing the plywood, it snapped and the scissor lift got stuck a ditch that the board was covering. A coworker used another scissor lift to pull the employee and his scissor lift  from the ditch. The stuck scissor lift was freed unexpectedly, resulting in the employee's head being crushed between a 6 inch thick concrete wall and the rail of the scissor lift. The employee was killed. "
working at height,"At 9:00 a.m. on May 17, 2017, an employee was cutting down a large tree. The tree came off the block, striking the employee in the face. The employee was killed. "
working at height,"At 4:00 p.m. on May 17, 2017, an employee was standing on a scaffold system while signaling a crane to place pre-fab roof panels into place. The scaffold was unguarded and the employee fell to the ground, suffering internal injuries and a lacerated heart, resulting in his death. "
others,"At 2:30 p.m. on May 17, 2017, an employee was monitoring residents finishing their cigarette break, when a gust of wind caused a tree to break and fall. As the employee shielded the residents from danger, he was struck in the head. As a result, the employee was killed. "
heavy vehicle,"On May 16, 2017, an employee was mowing the median between the east and west bound lanes of a highway. The John Deer tractor he was operating was pulling a 3 blade mowint deck. As the employee was traveling west bound in the median, he ran over a sink hole that measured approximately 5 feet wide by 7 feet long and 4 feet deep. The employee hit his head on the upper canopy (or canopy bars) of the tractor and was knocked unconscious. The tractor traveled approximately 26 feet before the employee fell out of the left side of the vehicle and was run over by the tractor and its mower blades.  The employee was killed as a result of his injuries. "
exposure to harmful substance,"On May 16, 2017, two employees (one a permanent employee, one a temporary employee) were cleaning (blowing down) the combustible wood fiber/dust from the area surrounding reversing belt #3.  A combustible dust explosion occurred at the facility, and the two employees were taken to burn centers.  One employee succumbed to his injuries. "
preexisting medical condition,"At noon, on May 16, 2017, a temporary employee was working for a hatchery. During work, he became ill and emergency services were contacted.  The employee became unconscious, which emergency service personnel attempted to resuscitate the employee for 20 minutes. The employee passed died on site. The employee's cause of death was diagnosed as Mitral Valve Prolapse, likely a preexisting medical condition. "
working at height,"At 11:30 a.m. on May 16, 2017, an employee was taping, mudding, and smoothing drywall while on a rolling scaffold. The employee fell from the scaffold, suffering a hemorrhagic stroke and epidural hematoma, and was killed. "
working at height,"At 10:30 a.m. on May  15, 2016, an employee was working from a scaffold deck to lay bricks. During work, he slid off the outrigger support and fell 41.3 feet. The employee struck the concrete floor below and hit his head on a steel beam and was killed. "
others,"At 5:15 p.m. on May 16, 2017, an employee was preparing to paint a car. The employee hooked up his airline respirator to a nitrogen hose instead of to the compressed air hose, resulting in the employee suffering asphyxiation. "
others,"At 2:45 p.m. on May 16, 2017, an employee was performing paving near railroad tracks. The employee stood up during a break and subsequently fell to the ground. The employee was hospitalized. "
machinery and equipment,"At 1:00 p.m. on May 16, 2017, an employee was blending soy beans from one silo to another. Afterwards, the employee cleared a jam in a grain shoot generated by the soy beans, resulting in him being engulfed and killed by the soy beans. "
machinery and equipment,"At 1:00 p.m. on May 16, 2017, an employee was using a tape measure to get a measurement inside of an unprotected excavation, measuring approximately 6.5 feet deep, when it collapsed. The employee was struck in the midsection by the collapsing excavation wall and became buried. The impact of the falling earth crushed the employee's internal organs, including rupturing his aorta. He suffered severe internal bleeding and was killed. "
preexisting medical condition,"At 12:00 p.m. on May 15, 2017, an employee was discovered unconscious in a portable toilet. The employee could not be revived and was determined dead from an apparent drug overdose. Drug paraphernalia was found on the employee's person. "
working at height,"At 11:15 a.m. on May 15, 2017, an employee, who was the owner, was using a scissor lift to perform plumbing work. As he was elevated to 26 feet, working on plumbing lines on the ceiling inside a commercial building, one of the lift's wheels rolled into a ditch. The lift fell to the side, ejecting the employee head first on to the concrete floor. A coworker, who was a subcontractor, observed the incident and came to the employee's aid, as well as outside workers that heard the impact of the lift striking the concrete floor. Despite the immediate response, the employee was killed in the fall. "
heavy vehicle,"At 11:45 a.m. on May 15, 2017, an employee was driving a John Deere ""Gator"" when he struck an outside wall of a pole barn. The employee was crushed and died from asphyxiation. "
working at height,"At 11:30 a.m. on May 15, 2017, an employee was cutting a tree from a basket truck. While the employee was cutting a tree, he decided to tie it to the basket of the truck. As the tree fell, its weight pulled the employee from the bucket. The employee fell approximately 40 to 50 feet and was killed. "
others,"At 10:00 a.m. on May 15, 2017, a security officer was out on routine patrol at a downtown business parking structure in Bloomington, IL. The employee was found unresponsive on the first level of the parking garage by two coworkers walking to their cars. The employee died as a result of head injuries sustained in a fall. "
working at height,"At 9:00 a.m. on May 15, 2017, an ironworker was installing steel decking on a newly constructed commercial building. During the decking operations the employee fell approximately 40 feet to the ground. The employee died as a result of his injuries. "
others,"At 7:15 a.m. on May 15, 2017, an employee was pouring concrete. While pouring concrete, he was  placing concrete that had a failure in the concrete pump and the end section fell on the employee. The employee was killed from blunt force injuries to his upper back. "
preexisting medical condition,"At 8:00 p.m. on May 14, 2017, an employee was sitting down on a bench. He fainted and fell on the  platform floor on the 207th Street Terminal (A Line). The employee died from cardiac arrest. "
handling heavy/sharp object/material,"At 9:00 a.m. on May 13, 2017, an employee was winding the tie down straps on the flatbed trailer while a coworker offloaded bundles of fencing pipes weighing approximately 1,400 lbs from the trailer with a forklift.  The employee was struck by a bundle of fencing material that slid off the trailer and suffered several fractures.  The employee later died from his injuries. "
working at height,"At 5:30 p.m. on May 13, 2017, an employee was taking the gear box of an shredder to replace its bearings. As the shredder was raised approximately 3 feet above the ground by a jack and blocks, a malfunction occurred. The shredder fell and struck the employee in the head, killing him. "
working at height,"On May 11, 2017, two employees were handing a door through a window from a platform elevated by a forklift and the platform tilted.  Both employees fell with the platform and Employee #1 was killed and Employee #2 was hospitalized. "
heavy vehicle,"At 11:52 a.m. on May 11, 2017, an employee was standing on the forks of the forklift that were being lifted up.  The employee was crushed between the forklift backrest and the truck as the forklift moved forward.  The employee was killed from crushing injuries to the head. "
heavy vehicle,"At 6:15 a.m. on May 11, 2017, an employee was walking next to his tow truck along the shoulder towards a disabled vehicle to load it on his tow truck. The employee was struck by a minivan, suffered crushing injuries, and had one of their legs amputated when struck.  The employee was killed. "
working at height,"At 5:15 p.m. on May 11, 2017, an employee was using a power stocker lift to stock merchandise.  The employee fell from the lift and was killed. "
preexisting medical condition,"At 3:00 p.m. on May 11, 2017, an employee was working in a small family-owned gift shop and suffered a stroke.  The County Coroner issued a finding that the employee died from a pre-existing medical condition. "
working at height,"At 9:15 a.m. on May 10, 2017, an employee was unloading a feed truck at a hog lot while standing on a ladder.   The employee fell and hit the left side of their head on the back end of the trailer, killing the employee. "
working at height,"At 9:00 a.m. on May 10, 2017, and employee was inside an existing garage standing on an elevated unguarded storage area looking for materials.  The employee stepped onto a 3/8 inch thick board that was hanging over the edge of the platform and fell approximately 8 feet to the cement floor, killing the employee "
heavy vehicle,"At 8:30 a.m. on May 10, 2017, an employee was working as a garbage worker and walked to some trash cans that were standing behind a garbage truck.  The employee was struck by the garbage truck and crushed under the rear tires as it was driven while in reverse.  The employee was killed. "
working at height,"At 6:30 p.m. on May 9, 2017, an employee was trying to stabilize a load of freight inside a trailer.  The employee climbed on top of the load and instructed a coworker to move the load into the trailer while they were on top.  The employee fell approximately 5 feet onto the trailer floor and was hospitalized with several fractured ribs.  The  employee died several days later due to complications from their injuries. "
heavy vehicle,"At 2:35 p.m. on May 9, 2017, an employee was driving an Isuzu box truck west on Highway 6 after making a delivery.  The employee was navigating a left hand curve when the truck crossed the centerline and struck an eastbound chip truck.  The initial report did not provide specifics or contain a description of injuries. "
working at height,"At 6:30 p.m. on May 8, 2017, an employee was installing a metal roof deck and fell approximately 30 feet to the ground.  The employee was killed from their injuries. "
others,"At 4:12 p.m. on May 8, 2017, an employee was caught in or between and was killed. No additional information or specifics were provided regarding this incident. "
working at height,"At 12:15 p.m. on May 7, 2017, an employee was stretching a protective membrane over the top of a commercial roof structure.  The employee fell approximately 28 feet from the roof and struck the ground.  The employee was killed as a result of their injuries. "
working at height,"At 1:30 p.m. on May 7, 2017, an employee was cutting the top off of a dead tree so that it could be removed.  The employee fell from the tree as he moved down the tree to make a new cut and was killed when they struck the ground. "
heavy vehicle,"On May 5, 2017, an employee was lifting a pallet of bundled 2 by 4 with a forklift and turned the forklift.  The employee was pinned to the road when the forklift toppled over and was crushed. "
heavy vehicle,"At 12:45 p.m. on May 5, 2017, an employee was landscaping some vegetation at the Waste Water Treatment Plant.  The employee was driving a sit-down riding TORO Mower (Model No. 74901, Serial No. 312000158) at the banks of DuPage River.  The employee was pinned by the mower when it turned over and the employee was submerged in the river.  The employee drowned. "
heavy vehicle,"At 11:30 a.m. on May 5, 2017, an employee was spraying weeds from a 6 by 6 ATV.  The employee lost control and was caught underneath the ATV when it rolled over.  The employee was killed. "
heavy vehicle,"At 2:31 p.m. on May 5, 2017, two employees were clearing a tree that fell across a road.  Both employees were struck by a vehicle.  Employee #1 was thrown approximately 17 feet and pronounced dead at the scene once paramedics arrived.  Employee #2 was transported to IU Health Bloomington.  No further information was provided regarding Employee #2's condition or injuries. "
working at height,"At 12:30 p.m. on May 4, 2017, an employee was staging plumbing tools and materials on a roof.  The employee stepped on an unprotected/unguarded semi-translucent corrugated fiberglass sky light panel and fell 16.5 feet to the concrete slab.  The employee suffered crushing injuries to their body and head and was killed onsite. "
preexisting medical condition,"At 10:30 a.m. on May 4, 2017, an employee was shoveling weeds in a pistachio orchard with a coworker.  The employee started to cramp as he worked and his foreman placed the employee in the truck cab with the air conditioning running.  The employee started mumbling after about 15 minutes and the foreman drove him to a nearby clinic.  The employee was transferred by ambulance to Madera Community Hospital where the employee died later that evening  from a subarachnoid hemorrhage (brain bleed). "
working at height,"At 7:00 p.m. on May 4, 2017, an employee was caulking the walls and ceilings of two homes as part of a single-family home development project.  The employee had been part of a work crew but was working by himself.  One of his coworkers discovered him lying on the bathroom floor and was unresponsive. The employee was transported to Urgent Care where he removed in a coma before being pronounced dead the following evening.  The employee sustained multiple rib fractures, a fractured skull ,and brain bleed and were consistent with a fall. "
exposure to harmful substance,"At 4:45 p.m. on May 4, 2017, an employee was locating an underground gas line. The employee may have been electrocuted when struck by an electrical power cable that was swinging due to heavy winds from bad weather. "
working at height,"At 11:00 a.m. on May 3, 2017, an employee was installing a hardiebaker board when he fell from the mobile scaffold to the ground.  The employee was killed onsite. "
heavy vehicle,"At 10:00 a.m. on May 3, 2017, an employee was standing when they were struck by a vehicle and was killed.  No further specifics were included in the initial report. "
machinery and equipment,"At 9:15 p.m. on May 3, 2017, an employee was working on the second floor of an evaporator.  The sight glass was broken and the employee had their left arm sucked into the evaporator by the vacuum.  The employee was killed. "
